,,モデル,シリーズ,ライン,プラットフォーム,"Product ID Tray","Product ID Boxed","Product ID MPK",発売日,CPUコア数,スレッド数,GPUコア数,ベースクロック,"最大ブーストクロック ¹ ²",すべてのコアブースト速度,L1キャッシュ合計,L2キャッシュ合計,L3キャッシュ合計,アンロック,"Processor Technology for CPU Cores",パッケージ,ソケット数,"PCI Express® バージョン","サーマル・ソリューション PIB","サーマル・ソリューション MPK",デフォルトTDP/TDP,"AMD Configurable TDP (cTDP)",最大温度,"*OS サポート","System Memory Specification","System Memory Type",メモリー・チャネル,"Per Socket Mem BW",グラフィックス周波数,GPUベース,グラフィックス・モデル,サポートされるテクノロジー,ワークロードの類似性
,on,"AMD EPYC™ 7773X","AMD EPYC™","AMD EPYC™ 7003 Series with AMD 3D V-Cache™",サーバー,100-000000504​,100-000000504​WOF,,,64,128,,2.2GHz,最大3.5GHz,,,,768MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,280W,225-280W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinityアーキテクチャー","Cache-sensitive scale-up/out, CFD, FEA Solvers"
,on,"AMD EPYC™ 7763","AMD EPYC™","AMD EPYC™ 7003 Series",サーバー,100-000000312,100-100000312WOF,,3/15/2021,64,128,,2.45GHz,最大3.5GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,280W,225-280W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinityアーキテクチャー","Analytics, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), Cache-sensitive scale-up/out, VM Density"
,on,"AMD EPYC™ 7742","AMD EPYC™","AMD EPYC™ 7002 Series",サーバー,100-000000053,100-100000053WOF,,,64,128,,2.25GHz,最大3.4GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinityアーキテクチャー","Analytics, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), Cache-sensitive scale-up/out, VM Density"
,on,"AMD EPYC™ 7713P","AMD EPYC™","AMD EPYC™ 7003 Series",サーバー,100-000000337,100-100000337WOF,,3/15/2021,64,128,,2.0GHz,最大3.675GHz,,,,256MB,,,SP3,1P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinityアーキテクチャー","App dev/test, ERM/SCM/CRM apps, Value data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7713","AMD EPYC™","AMD EPYC™ 7003 Series",サーバー,100-000000344,100-100000344WOF,,3/15/2021,64,128,,2.0GHz,最大3.675GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinityアーキテクチャー","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7702P","AMD EPYC™","AMD EPYC™ 7002 Series",サーバー,100-000000047,100-100000047WOF,,,64,128,,2.0GHz,最大3.35GHz,,,,256MB,,,SP3,1P,"PCIe 4.0 x128",,,200W,,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinityアーキテクチャー","ERM/SCM/CRM apps, Security, Value data mgmt (NR/RDBMS), VM Density"
,on,"AMD EPYC™ 7702","AMD EPYC™","AMD EPYC™ 7002 Series",サーバー,100-000000038,100-100000038WOF,,,64,128,,2.0GHz,最大3.35GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,200W,,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinityアーキテクチャー","Analytics, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), Cache-sensitive scale-up/out, VM Density"
,on,"AMD EPYC™ 7663","AMD EPYC™","AMD EPYC™ 7003 Series",サーバー,100-000000318,100-100000318WOF,,3/15/2021,56,112,,2.0GHz,最大3.5GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,240W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinityアーキテクチャー","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7662","AMD EPYC™","AMD EPYC™ 7002 Series",サーバー,100-000000137,100-000000137WOF,,,64,128,,2.0GHz,最大3.3GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinityアーキテクチャー","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7643","AMD EPYC™","AMD EPYC™ 7003 Series",サーバー,100-000000326,100-100000326WOF,,3/15/2021,48,96,,2.3GHz,最大3.6GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,225-240W,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinity Guard, AMD Infinityアーキテクチャー","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7642","AMD EPYC™","AMD EPYC™ 7002 Series",サーバー,100-000000074,100-100000074WOF,,,48,96,,2.3GHz,最大3.3GHz,,,,256MB,,,SP3,1P/2P,"PCIe 4.0 x128",,,225W,,,,"Up to 3200MHz",DDR4,8,"204.80 GB/s",,,,"AMD Infinityアーキテクチャー","Analytics, App dev/test, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), VDI, VM Density"
,on,"AMD EPYC™ 7601","AMD EPYC™","AMD EPYC™ 7001 Series",サーバー,PS7601BDVIHAF,PS7601BDAFWOF,,,32,64,,2.2GHz,最大3.2GHz,2.7GHz,,,64MB,,,SP3,1P/2P,"PCIe 3.0 x128",,,180W,,,,"Up to 2666MHz",DDR4,8,"170.60 GB/s",,,,,"Analytics, CAE/CFD/FEA, ERM/SCM/CRM apps, High capacity data mgmt (NR/RDBMS), Cache-sensitive scale-up/out"
